里程碑,任务,完成率,延期风险,快照
M2 架构,design.md v3.5 纳入架构资产,100%,无,design.md §9 + 台账16
M2 架构,ADR 决策记录 (7 变更项),100%,无,docs/ADR.md
M2 架构,架构追溯矩阵扩展,100%,无,台账08
M2 架构,架构基线固化 v0.3,100%,无,backup/台账_v0.3_backup
M3 开发,CHG-REQ-001 7 变更项全部落地（NEW-001~004/CONFIG-002/DEGRADE-001/FAILOVER-003）,100%,无,台账15/16 + 单元测试 24/24
M3 开发,单元测试 7 文件 24 用例全过 + 回归 12/12,100%,无,tests/test_*.py 7 文件
M4 测试,集成回归扩展 TC-15~19（指标/熔断/429/全生命周期）,100%,无,台账15 + tests/test_regression.py
M4 测试,统一调度 8 套件 41 用例 ALL PASS,100%,无,tests/run_all_tests.py + 测试汇总_M4_集成回归.csv
M5 投产,Go-Live 评审 PASS（需求17/变更7/测试41/安全门禁）,100%,无,评审报告_投产评审_v1.0.csv
M5 投产,launchd 守护 TCC 外部卷限制确认→生产手动进程,100%,已缓解,运维手册 §3 + RISK-004
M6 收尾,stage_close 门禁 + 17 台账收尾归档,100%,无,本固化
