需求规格说明书 (SRS) — 功能需求,,,,,,,,,
需求编号,需求名称,优先级,需求描述,输入,处理逻辑,输出,异常处理,验收标准,状态
REQ-FUNC-API-001,OpenAI兼容对话接口,P0,暴露 POST /v1/chat/completions 接口，完全兼容 OpenAI Chat Completions API 格式,"JSON body: {model, messages, stream, temperature, max_tokens, ...}",1.解析请求体 2.提取messages和参数 3.调用gateway.call_api() 4.注入provider信息 5.返回响应,OpenAI格式JSON响应，含choices/usage字段 + provider_name/provider_display字段,缺少messages字段→400; 网关未初始化→503; 全部Provider失败→503,curl调用返回200 + choices[0].message.content非空 + 包含provider_name字段,已实现
REQ-FUNC-API-002,模型列表接口,P0,暴露 GET /v1/models 接口，返回当前实例配置的可用模型列表,无请求体,1.遍历已配置providers 2.过滤无凭证的provider 3.返回模型列表,"OpenAI格式: {object:'list', data:[{id, provider, display, priority}]}",网关未初始化→503,返回data数组非空，每个元素包含id和provider字段,已实现
REQ-FUNC-API-003,流式响应,P0,支持 SSE 流式响应，客户端可通过 stream:true 获取逐字输出,"JSON body: {messages, stream:true, ...}",1.调用gateway.call_api(stream=True) 2.包装为SSE格式 3.逐行产出data行 4.以[DONE]结束,SSE流: data:{chunk}\n\n ... data:[DONE]\n\n; 响应头含X-Provider-Name,上游流式中断→输出error data后正常结束; 全部失败→503 data,客户端收到text/event-stream + 至少1个data chunk + [DONE]结束标记,已实现
REQ-FAILOVER-001,多Provider自动切换,P0,请求按优先级依次尝试可用Provider，失败自动切换下一个,messages + kwargs,1.get_available_providers() 2.按priority排序 3.依次尝试 4.成功则返回 5.失败则标记并切换,第一个成功的Provider的响应,429/401/5xx→标记失败+切换; Timeout/ConnectionError→标记失败+切换; 全部失败→503,P1失败后自动使用P2，响应中provider_name显示实际使用的Provider,已实现
REQ-FAILOVER-002,失败Provider自动恢复,P0,失败的Provider在配置的retry_seconds后自动恢复重试,retry_seconds配置（聊天15s/编程5s）,1.失败时记录时间戳到failed_providers 2.每次请求检查是否超过retry_seconds 3.超时则移除失败标记,Provider在retry_seconds后重新加入可用列表,—,Provider失败15s后（聊天实例）再次请求时该Provider重新可用,已实现
REQ-FAILOVER-003,失败状态重置,P1,提供 POST /gateway/reset 接口手动清空所有Provider的失败标记,无请求体,清空failed_providers字典,"{status:'ok', message:'失败状态已重置'}",网关未初始化→503,调用后/gateway/status中failed_providers为空数组,已实现
REQ-ROUTE-001,模型路由隔离,P0,忽略客户端传入的model参数，每个Provider始终使用自身配置的model,客户端model参数（任意值）,1.加载配置时校验model字段 2.call_api中使用provider['model']构建payload 3.不透传客户端model,Provider使用自身配置的model调用上游API,Provider缺少model配置→加载时跳过并警告,传入model='gateway'，实际请求使用Provider配置的model，非'gateway',已实现
REQ-CONFIG-001,YAML配置管理,P0,Provider配置通过YAML文件管理，支持动态添加/修改Provider,"YAML配置文件（config/chat.yaml, config/code.yaml）",1._load_config()读取YAML 2.按priority排序 3.过滤缺少model的Provider 4.加载gateway配置,"providers列表 + gateway_cfg(retry_seconds, timeout, port, log)",配置文件不存在→FileNotFoundError; YAML格式错误→异常,修改YAML后重启服务，新配置生效,已实现
REQ-CONFIG-002,配置热加载,P1,每次请求重新读取配置文件，支持运行时修改无需重启,配置文件修改,每次call_api前检查配置文件修改时间，若变更则重新加载,配置变更自动生效，无需重启服务,配置文件被删除→保持上次有效配置+日志警告,运行时修改YAML，下次请求使用新配置,未实现
REQ-CONFIG-003,环境变量密钥管理,P0,API Key通过环境变量注入，配置文件中使用${ENV_VAR}占位符,环境变量 + YAML配置文件中的${VAR}占位符,1._load_config()解析YAML 2._resolve_env()替换${VAR}为环境变量值 3.加载到内存,Provider的api_key字段为环境变量实际值,环境变量未设置→api_key为空字符串→Provider被跳过,配置文件中无明文Key，服务正常启动可调用Provider,待整改
REQ-CONFIG-004,双实例独立配置,P0,聊天实例和编程实例使用独立配置文件，端口/Provider/参数互不影响,server.py --config参数,1.启动时传入--config 2.APIGateway按config_path加载 3.独立日志/用量/PID,双实例独立运行，配置互不干扰,—,同时启动chat和code实例，各自端口可独立访问,已实现
REQ-TRACK-001,用量追踪,P1,记录每个Provider的请求数、token数、错误数、最后使用时间,每次API调用的token数,"1._track(name, tokens)递增计数 2._save_usage()持久化到JSON 3._ensure_usage()初始化新Provider","data/usage.json: {provider: {total_requests, total_tokens, errors, last_used}}",usage.json损坏→重置为空字典,/gateway/status返回的usage数据与实际调用次数一致（非流式精确，流式估算）,部分实现
REQ-TRACK-002,网关状态查询,P1,提供 GET /gateway/status 接口查询当前网关状态,无请求体,返回current_provider、available_providers、failed_providers、providers_configured、usage,JSON状态对象,网关未初始化→503,返回包含available_providers和usage字段的有效JSON,已实现
REQ-HEALTH-001,健康检查,P1,提供 GET /health 接口检查服务存活状态,无请求体,检查gateway是否已初始化,"{status:'ok', gateway_ready:true/false}",—,服务运行时返回200 + status='ok',已实现
REQ-HEALTH-002,深度健康检查,P1,Readiness探针检查是否有可用Provider，区分存活与可用,无请求体,检查available_providers数量>0,"{status:'ok'/'degraded', gateway_ready:true, available_count:N}",—,全部Provider失败时返回degraded状态,待实现
REQ-SEC-001,管理端点认证,P0,/gateway/status和/gateway/reset需要API Token认证,Authorization: Bearer <ADMIN_TOKEN>,1.读取ADMIN_TOKEN环境变量 2.校验请求头Authorization 3.不匹配返回401,认证通过返回正常响应; 认证失败返回401,未配置ADMIN_TOKEN→记录警告但允许访问,无Token访问/gateway/status返回401; 正确Token可访问,待整改
REQ-SEC-002,API调用频率限制,P1,对/v1/chat/completions实施Rate Limiting，防止上游API被封禁,客户端IP + 请求频率,1.令牌桶算法 2.按Provider配置速率 3.超限返回429,正常请求通过; 超限返回429 + Retry-After头,—,超过配置速率时返回429状态码,待实现
REQ-SEC-003,请求体大小限制,P1,限制请求体大小，防止恶意大payload导致内存耗尽,Content-Length头,1.检查Content-Length 2.超过限制返回413,正常请求通过; 超限返回413,—,发送1MB以上请求体返回413,待实现
REQ-DEGRADE-001,降级策略-熔断器,P1,单个Provider连续失败3次后熔断60s，半开状态试探恢复,Provider失败次数,1.CircuitBreaker记录失败次数 2.达到阈值→熔断 3.超时→半开 4.半开成功→恢复 5.半开失败→重新熔断,熔断状态Provider不参与failover,—,Provider连续失败3次后60s内不被调用,待实现
REQ-DEGRADE-002,降级策略-缓存降级,P2,全部Provider失败时，若缓存命中则返回缓存响应,messages hash,1.缓存最近100条成功响应 2.全部失败时查缓存 3.命中则返回+X-Cache-Hit头 4.TTL=3600s,缓存响应或503错误,缓存未命中→返回503结构化错误+retry_after,全部失败时，缓存命中的请求返回200+X-Cache-Hit头,待实现
