需求文档条目,实际实现条目,比对结果,偏差类型,偏差说明,是否经变更审批
REQ: 智谱AI glm-4-flash (P1),config: 智谱 GLM-4.7 (P1),⚠️ 内容偏差,内容变更,模型从 glm-4-flash 变更为 glm-4.7，需求文档未更新,否
REQ: 火山引擎 Doubao-Pro (P2),实际: 不存在,❌ 缺失,范围缩水,需求文档定义的火山引擎 Doubao-Pro 在实际配置中不存在,否
REQ: 硅基流动 Qwen-Chat (P3),实际: 不存在,❌ 缺失,范围缩水,需求文档定义的硅基流动 Qwen-Chat 在实际配置中不存在,否
REQ: 硅基流动 Qwen-Reason (P4),实际: 不存在,❌ 缺失,范围缩水,需求文档定义的硅基流动 Qwen-Reason 在实际配置中不存在,否
REQ: 火山引擎 Doubao-Lite (P5),实际: 不存在,❌ 缺失,范围缩水,需求文档定义的火山引擎 Doubao-Lite 在实际配置中不存在,否
REQ: OpenRouter llama-3.3-70b (P6),config: OpenRouter free (P3),⚠️ 内容偏差,内容变更,模型从 llama-3.3-70b 变更为 openrouter/free，优先级从 P6 变为 P3,否
实际: 智谱 GLM-4.5-Air (P2),config: 智谱 GLM-4.5-Air (P2),⚠️ 内容偏差,范围蔓延,实际配置中存在但需求文档中未定义,否
REQ: 硅基流动 Qwen3-Coder (P1),实际: 不存在,❌ 缺失,范围缩水,需求文档定义的硅基流动 Qwen3-Coder 在实际配置中不存在,否
REQ: NVIDIA Nemotron Super (P2),实际: 不存在,❌ 缺失,范围缩水,需求文档定义的 NVIDIA Nemotron Super 在实际配置中不存在,否
REQ: NVIDIA Nemotron Ultra (P3),实际: 不存在,❌ 缺失,范围缩水,需求文档定义的 NVIDIA Nemotron Ultra 在实际配置中不存在,否
REQ: 火山引擎 Doubao-Code (P4),config: 火山引擎 Doubao-Code (P4),✅ 匹配,—,需求与配置一致,—
REQ: 硅基流动 Qwen-Coder (P5),实际: 不存在,❌ 缺失,范围缩水,需求文档定义的硅基流动 Qwen-Coder 在实际配置中不存在,否
实际: DeepSeek V4 Flash (P1),config: DeepSeek V4 Flash (P1),⚠️ 内容偏差,范围蔓延,实际配置中存在但需求文档中未定义,否
实际: 智谱 GLM-4.7 (P2),config: 智谱 GLM-4.7 (P2),⚠️ 内容偏差,范围蔓延,实际配置中存在但需求文档中未定义,否
实际: OpenRouter free (P3),config: OpenRouter free (P3),⚠️ 内容偏差,范围蔓延,实际配置中存在但需求文档中未定义,否
REQ-06: 失败提供商 configurable 秒后自动恢复重试,gateway.py: retry_seconds 实现,⚠️ 内容偏差,内容变更,需求要求配置热加载（每次请求重新读取），实际仅在启动时加载,否
REQ-08: 用量追踪,gateway.py: _track() + _estimate_tokens(),⚠️ 内容偏差,内容变更,流式响应使用估算 token，数据不准确,否
无对应需求,src/agent.py: AI Agent 层 (513行),❌ 缺失,范围蔓延,Agent 层实现完整但无需求定义，设计文档 v3.0 记录已移除,否
AGENTS.md: 测试端口 5101/5102/5103,config: 实际端口 5080/5081,❌ 缺失,内容变更,AGENTS.md 端口规划与实际使用不一致,否
