范围项,内容,依据,类型
交付-接口,OpenAI 兼容 /v1/chat/completions + /v1/models,REQ-01/02,做什么
交付-双实例,多免费 API 提供商聚合网关（chat:5080 / code:5081 双实例）,REQ-13,做什么
交付-failover,多提供商自动 failover 与失败恢复,REQ-04/05/06,做什么
交付-管理,用量追踪、网关状态/重置、健康检查,REQ-08~11,做什么
交付-路由,模型路由隔离、AK/SK 签名、多 endpoint 管理,REQ-12/14/15/16/17,做什么
交付-守护,launchd 进程守护 + 双探针健康检查,非功能-进程守护,做什么
交付-配置,配置 YAML 管理、密钥 .env 环境隔离,REQ-07 + 非功能-安全,做什么
排除,不内置 UI 前端（纯 API 网关）,范围裁定,不做什么
排除,不实现用户账户/权限/计费体系,范围裁定,不做什么
排除,不聚合付费提供商（仅免费）,范围裁定,不做什么
排除,不做对话记忆/会话管理（stateless 转发）,范围裁定,不做什么
排除,不承担数据存储业务逻辑（仅用量 JSON 本地记录）,范围裁定,不做什么
假设,免费提供商接口稳定可用；密钥经 .env 管理不泄露,环境假设,假设
假设,客户端自行管理对话上下文，网关不做状态,架构假设,假设
制约,仅免费提供商；端口固定 5080/5081；禁止操作主环境 5001/5002/5003,环境隔离铁律,制约
制约,全库禁产出新 .xlsx（v21 规范），存量待审计迁移,token_standard §3.3,制约
