平台,模型,输入价($/M),输出价($/M),缓存命中($/M),context,output,来源T1,核验日期
deepseek官方,deepseek-v4-flash,0.44(峰价),1.32(峰价),0.014/0.022(缓存命中),1000000,384000,https://api-docs.deepseek.com/quick_start/pricing,2026-08-29
deepseek官方,deepseek-v4-pro,1.32(峰价),3.96(峰价),0.022(缓存命中),1000000,384000,https://api-docs.deepseek.com/quick_start/pricing,2026-08-29
openrouter,qwen/qwen3.8-flash,0.00000015,0.00000047,,1000000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,deepseek/deepseek-v4-flash-vision-exp,0.00000022,0.00000066,,1048576,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.8-27b,0.000000425,0.00000255,,1000000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.8-2.4t-a95b,0.000002,0.000006,,1048576,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.8-2.4t-a95b:batch,0.0000025,0.00000625,,1010000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,deepseek/deepseek-v4-pro-0813,0.00000066,0.00000198,,1048576,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,deepseek/deepseek-v4-pro-0813:batch,0.00000132,0.00000396,,1048576,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.8-max,0.000002,0.000006,,1000000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,~deepseek/deepseek-v4-flash-latest,0.00000003,0.00000016,,1310720,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,deepseek/deepseek-v4-flash-0731,0.000000065,0.00000018,,1310720,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,deepseek/deepseek-v4-flash-0731:batch,0.00000014,0.00000028,,1048576,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.7-flash,0.00000003,0.00000013,,1000000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.7-plus,0.00000032,0.00000128,,1000000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.7-max,0.000001475,0.000004425,,1000000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.5-plus-20260420,0.0000003,0.0000018,,1000000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.6-flash,0.0000001875,0.000001125,,1000000,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.6-35b-a3b,0.0000001,0.0000009,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.6-max-preview,0.000001027,0.000006162,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,qwen/qwen3.6-27b,0.0000006,0.0000036,,262144,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,deepseek/deepseek-v4-pro,0.000000457794,0.000000915588,,1048576,,https://openrouter.ai/api/v1/models,2026-08-30
openrouter,deepseek/deepseek-v4-flash,0.00000008064,0.00000016128,,1048576,,https://openrouter.ai/api/v1/models,2026-08-30
