主机,资源类型,资源标识,环境,端口,容器名,模型名,占用项目,状态,优先级,备注
localhost,port,gw-web-dev,nonprod-dev,30000,-,-,free-api-hub,registered,P2,网关Web API(dev)
localhost,port,gw-web-test,nonprod-test,30100,-,-,free-api-hub,registered,P2,网关Web API(test)
api.free-api-hub.example,port,gw-web-prod,prod,8080,-,-,free-api-hub,registered,P1,网关Web API(生产网关映射)
localhost,port,admin-dev,nonprod-dev,30001,-,-,free-api-hub,registered,P3,管理Admin API(dev)
localhost,port,admin-test,nonprod-test,30101,-,-,free-api-hub,registered,P3,管理Admin API(test)
api.free-api-hub.example,port,admin-prod,prod,8081,-,-,free-api-hub,registered,P1,管理Admin API(生产)
localhost,port,state-dev,nonprod-dev,30002,-,-,free-api-hub,registered,P3,状态存储sqlite(dev)
localhost,port,state-test,nonprod-test,30102,-,-,free-api-hub,registered,P3,状态存储sqlite(test)
api.free-api-hub.example,port,state-prod,prod,5432,-,-,free-api-hub,registered,P1,状态存储集群PG(生产)
localhost,mcp,freeApiHub,nonprod/prod,-,-,-,free-api-hub,registered,P2,"本地MCP子进程(stdio,无端口)"
